sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,capture_lap_closed,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
13.332,9109412.538,5759.543,-24.55371,1,0,0,13.33,0.0,2.361,2.3609,0.0053,0.0052,0.02156925,-0.002441406,0.0,99.99609,3.0,5235.988,1.0,0.2932055,8.023769,7.858769,38.09402,38.10563,1.240319e-06,1.29659e-06,0.0002196293,0.0002196554,20.00177,20.00165,20.2319,20.23184,237.0014,237.0013,224.1772,224.1771,4.356024e-11,4.762741e-11,1.361203e-06,1.361527e-06,200.0,5.514648,5.620728,5.91363,6.444037,7.321407,8.780458,11.38411,16.83053,32.61888,200.0,30.60091,15.36619,10.63714,8.343863,7.044695,6.262337,5.795762,5.551514,5.487915,1.0,0.0,0.029017075419086883,3,0.0
13.352,9109412.559,5759.592,-24.50537,1,0,0,13.35,0.0,2.4877,2.4877,0.0055,0.0051,0.0212903,-0.002530185,0.0,99.99586,3.0,5235.988,1.0,0.293211,8.366404,8.321816,39.78385,39.79635,1.269324e-06,1.323732e-06,0.0002325248,0.0002325537,20.00204,20.00192,20.24548,20.24542,237.0017,237.0015,224.1876,224.1875,4.561033e-11,4.963014e-11,1.524961e-06,1.52534e-06,200.0,5.515137,5.620972,5.913465,6.443415,7.320092,8.777767,11.37911,16.81769,32.57011,200.0,30.65478,15.37678,10.6412,8.345993,7.045977,6.262758,5.795782,5.551392,5.487427,1.0,0.0,0.028718423652721294,3,0.0
13.372,9109412.58,5759.644,-24.45361,1,0,0,13.37,0.0,2.6149,2.6149,0.0055,0.0051,0.02099752,-0.002596769,0.0,99.99563,3.0,5235.988,1.0,0.2932105,8.708952,8.716034,41.47262,41.48692,1.292132e-06,1.345144e-06,0.0002459832,0.0002460138,20.00235,20.00223,20.25967,20.25961,237.0019,237.0018,224.1984,224.1984,4.725509e-11,5.123895e-11,1.705776e-06,1.706201e-06,200.0,5.515381,5.621094,5.913011,6.442636,7.31865,8.775189,11.37417,16.80458,32.51719,200.0,30.71061,15.38837,10.64594,8.348223,7.04715,6.263272,5.795897,5.55127,5.486938,1.0,0.0,0.02838803320100127,3,0.0
13.392,9109412.599,5759.697,-24.40039,1,0,0,13.39,0.0,2.7419,2.7419,0.0055,0.0051,0.02069283,-0.002707741,0.0,99.9954,3.0,5235.988,1.0,0.2932055,9.082103,9.083902,43.16006,43.17569,1.307059e-06,1.360575e-06,0.0002600059,0.0002600395,20.00266,20.00253,20.27448,20.27441,237.0021,237.002,224.2097,224.2097,4.83472e-11,5.241416e-11,1.904932e-06,1.905425e-06,200.0,5.516113,5.621338,5.913136,6.44242,7.31773,8.773081,11.36885,16.7919,32.46575,200.0,30.76827,15.39863,10.65001,8.350317,7.048017,6.263627,5.795846,5.550781,5.486206,1.0,0.0,0.02807073674748344,3,0.0
13.412,9109412.618,5759.753,-24.34424,1,0,0,13.41,0.0,2.8684,2.8684,0.0054,0.0053,0.02037382,-0.002840909,0.0,99.99517,3.0,5235.988,1.0,0.2931967,9.48559,9.460451,44.8448,44.86189,1.317475e-06,1.371602e-06,0.0002745959,0.0002746331,20.00296,20.00284,20.28983,20.28979,237.0024,237.0023,224.2215,224.2215,4.911649e-11,5.326188e-11,2.123794e-06,2.12437e-06,200.0,5.516724,5.621704,5.913152,6.441773,7.316609,8.770594,11.36362,16.7781,32.4103,200.0,30.82798,15.41096,10.65484,8.352456,7.04903,6.263972,5.795815,5.550293,5.485474,1.0,0.0,0.027749337915298995,3,0.0
13.432,9109412.64,5759.812,-24.28516,1,0,0,13.43,0.0,2.9948,2.9948,0.0052,0.0055,0.02004099,-0.002951882,0.0,99.99494,3.0,5235.988,1.0,0.2931855,9.903904,9.854196,46.52599,46.54439,1.325065e-06,1.378852e-06,0.0002897551,0.0002897962,20.00327,20.00314,20.30579,20.30576,237.0026,237.0025,224.2337,224.2336,4.968085e-11,5.382292e-11,2.363772e-06,2.364444e-06,200.0,5.517334,5.622033,5.913031,6.441298,7.31528,8.768085,11.35791,16.76314,32.35297,200.0,30.894,15.4237,10.6595,8.354832,7.050141,6.264213,5.795747,5.550171,5.484863,1.0,0.0,0.027396213130158217,3,0.0
13.452,9109412.659,5759.873,-24.22461,1,0,0,13.45,0.0,3.1211,3.1211,0.005,0.0057,0.01969433,-0.003107244,0.0,99.99471,3.0,5235.988,1.0,0.2931755,10.32439,10.25929,48.20387,48.22368,1.332532e-06,1.385987e-06,0.0003054827,0.0003055272,20.00357,20.00345,20.32236,20.32233,237.0029,237.0028,224.2463,224.2463,5.023911e-11,5.437791e-11,2.626285e-06,2.627054e-06,200.0,5.518188,5.622268,5.912936,6.440743,7.314037,8.765376,11.35234,16.74863,32.29297,200.0,30.96015,15.43622,10.66405,8.35698,7.051202,6.264695,5.79572,5.549438,5.483887,1.0,0.0,0.02705373835940504,3,0.0
13.472,9109412.68,5759.937,-24.16016,1,0,0,13.47,0.0,3.2475,3.2475,0.0048,0.006,0.01933289,-0.003262606,0.0,99.99448,3.0,5235.988,1.0,0.2931647,10.74319,10.66982,49.87829,49.89975,1.340155e-06,1.393399e-06,0.000321778,0.0003218266,20.00388,20.00375,20.33954,20.33951,237.0031,237.003,224.2594,224.2594,5.081219e-11,5.495739e-11,2.912809e-06,2.913691e-06,200.0,5.518799,5.622827,5.913331,6.440567,7.312818,8.762882,11.34681,16.73373,32.23225,200.0,31.02797,15.44958,10.66908,8.359074,7.051901,6.264874,5.795335,5.549072,5.483032,1.0,0.0,0.026692445104265605,3,0.0
13.492,9109412.699,5760.003,-24.09375,1,0,0,13.49,0.0,3.374,3.3739,0.0045,0.0063,0.01895714,-0.003440163,0.0,99.99426,3.0,5351.025,1.0,0.2931552,11.16105,11.08302,51.59694,51.62009,1.348001e-06,1.401089e-06,0.0003386454,0.0003386985,20.00418,20.00406,20.35733,20.3573,237.0034,237.0033,224.273,224.273,5.140556e-11,5.556194e-11,3.22496e-06,3.225974e-06,200.0,5.519775,5.623619,5.913442,6.440038,7.311856,8.760303,11.34107,16.71809,32.16982,200.0,31.10063,15.46316,10.67406,8.361439,7.053053,6.26496,5.795185,5.548218,5.482056,1.0,0.0,0.026327061566237757,3,0.0
13.512,9109412.718,5760.072,-24.0249,1,0,0,13.51,0.0,3.5004,3.5004,0.0041,0.0066,0.01856613,-0.003639915,0.0,99.994,3.0,5561.315,1.0,0.2931464,11.57902,11.49764,53.6104,53.63515,1.356121e-06,1.409076e-06,0.0003561356,0.000356194,20.00449,20.00436,20.37573,20.3757,237.0036,237.0035,224.2871,224.2871,5.202322e-11,5.619331e-11,3.565353e-06,3.566525e-06,200.0,5.520996,5.624166,5.913768,6.439863,7.310903,8.757936,11.33532,16.70241,32.10543,200.0,31.17245,15.47702,10.67919,8.363597,7.053599,6.26525,5.794788,5.547554,5.480957,1.0,0.0,0.025956378167502337,3,0.0
