sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
8.472,9108593.571,5759.454,-24.64355,1,0,8.47,0.0,2.114,2.114,0.0036,0.0049,0.01267719,-0.0008877841,0.0,99.99654,3.0,5235.988,1.0,0.2931795,6.891082,6.875696,34.73305,34.7355,1.22491e-06,1.202857e-06,0.0001955711,0.0001955426,20.00146,20.00146,20.20651,20.20651,237.0012,237.0012,224.1578,224.1578,4.254053e-11,4.100056e-11,1.08055e-06,1.080234e-06,200.0,5.505371,5.602417,5.884282,6.399796,7.254223,8.671799,11.18914,16.39629,31.11046,200.0,32.39914,15.76484,10.81509,8.443717,7.107255,6.303255,5.822559,5.568115,5.495605,1.0,0.0,0.016706284011418413,3,0.0
8.492,9108593.591,5759.498,-24.59961,1,0,8.49,0.0,2.2418,2.2418,0.0036,0.0051,0.01253223,-0.0009099787,0.0,99.99631,3.0,5235.988,1.0,0.2931929,7.190123,7.166832,36.42072,36.42376,1.262016e-06,1.240316e-06,0.0002073598,0.0002073316,20.00168,20.00168,20.21893,20.21893,237.0014,237.0014,224.1673,224.1673,4.514086e-11,4.357946e-11,1.214027e-06,1.213696e-06,200.0,5.505493,5.602417,5.884107,6.399492,7.253354,8.670712,11.18666,16.38983,31.08561,200.0,32.4318,15.77157,10.8175,8.445052,7.107851,6.303605,5.822784,5.568115,5.495483,1.0,0.0,0.0165358446927545,3,0.0
8.512,9108593.611,5759.544,-24.55322,1,0,8.51,0.0,2.3676,2.3676,0.0037,0.0052,0.01237917,-0.0009987571,0.0,99.99608,3.0,5235.988,1.0,0.2932036,7.589944,7.560133,38.1096,38.11294,1.295396e-06,1.27372e-06,0.0002197052,0.0002196774,20.00192,20.00192,20.23196,20.23196,237.0015,237.0015,224.1772,224.1772,4.754576e-11,4.594539e-11,1.362141e-06,1.361796e-06,200.0,5.505859,5.602783,5.88442,6.399356,7.25304,8.669943,11.18453,16.38415,31.06092,200.0,32.46498,15.77693,10.81931,8.445692,7.107945,6.303461,5.822489,5.567749,5.494873,1.0,0.0,0.016397480704050685,3,0.0
8.532,9108593.63,5759.593,-24.50439,1,0,8.53,0.0,2.4925,2.4925,0.0037,0.0051,0.01221704,-0.001065341,0.0,99.99585,3.0,5235.988,1.0,0.2932098,8.061005,8.026037,39.79897,39.80296,1.325626e-06,1.304272e-06,0.000232608,0.0002325805,20.00223,20.00223,20.24561,20.24561,237.0018,237.0018,224.1877,224.1877,4.977709e-11,4.816354e-11,1.526049e-06,1.525688e-06,200.0,5.506348,5.602905,5.884375,6.399267,7.252431,8.668642,11.18164,16.37692,31.03368,200.0,32.50031,15.78375,10.82235,8.446917,7.108512,6.303806,5.822543,5.567505,5.494629,1.0,0.0,0.016233438969796204,3,0.0
8.552,9108593.651,5759.644,-24.45361,1,0,8.55,0.0,2.6172,2.6172,0.0037,0.0051,0.01204681,-0.001131925,0.0,99.99562,3.0,5235.988,1.0,0.2932103,8.555359,8.518581,41.48796,41.49292,1.347052e-06,1.325957e-06,0.0002460712,0.0002460438,20.00253,20.00253,20.2598,20.2598,237.002,237.002,224.1985,224.1985,5.138957e-11,4.976956e-11,1.706993e-06,1.706612e-06,200.0,5.506592,5.603027,5.884436,6.399094,7.251821,8.667349,11.17922,16.37019,31.00534,200.0,32.53799,15.78989,10.82425,8.448034,7.109194,6.303799,5.822487,5.567383,5.494263,1.0,0.0,0.01605908405674575,3,0.0
8.572,9108593.672,5759.697,-24.3999,1,0,8.57,0.0,2.7425,2.7425,0.0037,0.0051,0.01186752,-0.001242898,0.0,99.99539,3.0,5235.988,1.0,0.293205,9.026951,8.990255,43.17543,43.18145,1.364276e-06,1.343364e-06,0.0002600983,0.0002600714,20.00284,20.00284,20.2746,20.2746,237.0023,237.0023,224.2098,224.2098,5.270393e-11,5.107738e-11,1.906282e-06,1.905887e-06,200.0,5.507202,5.603638,5.884626,6.399045,7.251751,8.666483,11.17693,16.36289,30.97619,200.0,32.57529,15.79645,10.82651,8.448958,7.109409,6.30372,5.821984,5.566895,5.493652,1.0,0.0,0.01590145251197482,3,0.0
8.592,9108593.69,5759.753,-24.34375,1,0,8.59,0.0,2.8684,2.8684,0.0037,0.0053,0.01167965,-0.001353871,0.0,99.99516,3.0,5235.988,1.0,0.2931967,9.467176,9.43037,44.86074,44.86714,1.375688e-06,1.355036e-06,0.000274692,0.0002746662,20.00314,20.00314,20.29001,20.29001,237.0025,237.0025,224.2216,224.2216,5.358377e-11,5.196364e-11,2.125276e-06,2.124877e-06,200.0,5.507812,5.604004,5.884768,6.399019,7.251187,8.66538,11.17413,16.35579,30.94669,200.0,32.6168,15.80415,10.82908,8.450279,7.109928,6.303911,5.821885,5.566406,5.49292,1.0,0.0,0.015732896569637302,3,0.0
8.612,9108593.712,5759.812,-24.28516,1,0,8.61,0.0,2.9947,2.9947,0.0036,0.0055,0.01148272,-0.001509233,0.0,99.99493,3.0,5235.988,1.0,0.2931857,9.889008,9.851238,46.54235,46.54928,1.382915e-06,1.362334e-06,0.0002898556,0.0002898312,20.00345,20.00345,20.30597,20.30597,237.0028,237.0028,224.2338,224.2338,5.414466e-11,5.252159e-11,2.365405e-06,2.365007e-06,200.0,5.508789,5.604614,5.885329,6.399252,7.251044,8.664528,11.17191,16.34877,30.91524,200.0,32.65738,15.81055,10.83137,8.450709,7.109837,6.303398,5.821468,5.565796,5.492065,1.0,0.0,0.015581063995579309,3,0.0
8.632,9108593.731,5759.874,-24.22363,1,0,8.63,0.0,3.1211,3.1211,0.0035,0.0057,0.01127672,-0.001620206,0.0,99.99471,3.0,5235.988,1.0,0.2931757,10.30592,10.2666,48.22076,48.22826,1.389845e-06,1.369203e-06,0.000305587,0.0003055641,20.00375,20.00375,20.32254,20.32254,237.003,237.003,224.2465,224.2465,5.468521e-11,5.304936e-11,2.628073e-06,2.627679e-06,200.0,5.509277,5.604901,5.885487,6.399103,7.250513,8.663183,11.16837,16.34009,30.88236,200.0,32.70226,15.81874,10.83444,8.451828,7.110513,6.303579,5.82129,5.56543,5.491455,1.0,0.0,0.01538942421549329,3,0.0
8.652,9108593.75,5759.937,-24.16016,1,0,8.65,0.0,3.2475,3.2475,0.0034,0.006,0.01106119,-0.001797763,0.0,99.99448,3.0,5235.988,1.0,0.2931652,10.72338,10.68225,49.89573,49.90388,1.397197e-06,1.376488e-06,0.0003218871,0.0003218654,20.00406,20.00406,20.33972,20.33972,237.0033,237.0033,224.2596,224.2596,5.526157e-11,5.361208e-11,2.914776e-06,2.914384e-06,200.0,5.510132,5.60583,5.886033,6.399442,7.25058,8.662452,11.16632,16.33285,30.84938,200.0,32.74728,15.82569,10.83643,8.452547,7.110219,6.303075,5.820717,5.564453,5.490356,1.0,0.0,0.015228039159763585,3,0.0
